id,title,vegetarian,vegan,dairyFree,veryHealthy,veryPopular,lowFodmap,ketogenic,image,aggregateLikes,healthScore,percentProtein,percentFat,percentCarbs,dishTypes,ingredients,calories,Fat_g,Saturated Fat_g,Carbohydrates_g,Sugar_g,Cholesterol_mg,Sodium_mg,Protein_g,Vitamin B3_mg,Iron_mg,Vitamin B2_mg,Calcium_mg,Vitamin B1_mg,Potassium_mg,Zinc_mg,Magnesium_mg,Vitamin B12_µg,Vitamin B5_mg,Vitamin E_mg,Fiber_g,Vitamin A_IU,Vitamin C_mg,Alcohol_g
387,Pappardelle With Spicy Meat ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/387-556x370.jpg,25,2,20.09,36.28,43.63,appetizers,"anchovy,canned tomatoes,crushed red pepper,dry white wine,garlic,ground beef,kosher salt,olive oil,pappardelle,parmesan",142.92,5.73,2.09,15.5,2.13,28.53,307.71,7.14,1.64,1.24,0.07,58.77,0.07,214.13,1.25,22.67,0.45,0.37,0.75,1.34,125.71,3.93,0.31
388,Turkey Burgers With Caesar Spread,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/388-556x370.jpg,4,2,38.23,41.53,20.24,appetizers,"anchovy,chili powder,dijon mustard,garlic,ground turkey,hamburger buns,kosher salt,lemon juice,mayonnaise,parmesan,swiss cheese",94.9,4.36,1.42,4.79,0.68,21.28,291.36,9.04,3.21,0.56,0.07,59.52,0.08,103.4,0.8,12.62,0.32,0.28,0.16,0,70.08,0,0
389,Caesar-Style Dressing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/389-556x370.jpg,0,1,3.66,94.59,1.75,snack,"capers,dijon mustard,garlic clove,kosher salt,lemon juice,mayonnaise,oil-packed anchovies,parmigiano reggiano cheese,water",276.85,29.17,4.99,1.22,0.87,20.21,675.3,2.54,0.58,0.32,0.03,53.05,0.02,37.61,0.25,5.98,0.11,0.12,1.36,0,56.62,2.39,0
390,Spring Vegetable Bagna Cauda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/390-556x370.jpg,0,13,23.37,55.22,21.41,snack,"asparagus,baby carrots,favabean,fennel bulbs,garlic cloves,hard cooked eggs,lemon juice,oil-packed anchovies,olive oil,radishes,butter,watercress",240.4,15.02,5.38,13.1,4.02,213,753.23,14.3,4.55,3.38,0.44,129.21,0.15,624.27,1.54,42.87,0.71,1.34,2.22,4.57,7149.89,13.05,0
391,Spinach Caesar Salad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/391-556x370.jpg,0,24,19.96,66.75,13.29,salad,"anchovy,baby spinach,baguette,dijon mustard,egg,garlic cloves,lemon juice,olive oil,paprika,parmesan cheese,salt and pepper",431.33,32.25,10.78,14.45,0.95,68.48,1154.71,21.7,1.68,2.55,0.35,628.14,0.17,330.72,1.89,62.34,0.66,0.5,3.78,1.68,4338.19,13.53,0
392,Mediterranean Pasta with Broccoli,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/392-556x370.jpg,3,100,13.11,37.84,49.05,"lunch,main_dish,dinner","broccoli,elbow macaroni,garlic cloves,oil packed tuna,olive oil,parmigiano reggiano cheese,salt and pepper,walnuts",618.18,26.66,4.1,77.75,5.62,4.43,359.64,20.78,2.85,2.95,0.3,190.6,0.25,808.68,2.56,107.53,0.1,1.47,3.48,8.17,1112.42,152.62,0
393,Lavender-Marinated Leg of Lamb,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/393-556x370.jpg,0,47,53.06,45.95,0.99,"lunch,main_dish,dinner","anchovy,dry white wine,garlic cloves,lavender,leg of lamb,lemon wedges,olive oil,rosemary,salt and pepper",322.32,15.74,4.12,0.76,0.1,126.94,318.35,40.88,12.53,3.76,0.5,21.65,0.28,585.49,7.6,54.94,5.32,1.44,1.41,0,0,1,0.77
394,Lamb Chops with Fennel Relish,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/394-556x370.jpg,0,57,18.05,78.29,3.66,"lunch,main_dish,dinner","anchovy,calamata olives,capers,crushed red pepper,fennel bulb,garlic clove,lamb loin chops,olive oil,parsley,salt and pepper,shallot,sherry vinegar",1302.33,112.76,43.06,11.87,1.09,254.14,631.01,58.48,23.47,7.14,0.78,132.08,0.4,1307.02,9.05,100.21,6.96,2.51,3.97,4.54,591.74,21.01,0
395,Chicken-Liver Crostini,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/395-556x370.jpg,0,3,24.36,66.99,8.65,appetizers,"anchovy,baguette,capers,chicken livers,cognac,olive oil,rosemary,sage,salt and pepper,butter,white onion",46.54,3.13,0.92,0.91,0.16,50.86,216.94,2.56,1.44,1.33,0.26,0,0.05,39.58,0.4,0,2.35,0.89,0.37,0,1592.72,2.8,0.63
396,Zakary Pelaccio’s Pasta Con Sarde,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/396-556x370.jpg,21,67,11.47,26.13,62.4,"lunch,main_dish,dinner","bread,fennel,fennel,flat-leaf parsley,fresh sardines,garlic,oil-packed anchovies,olive oil,pasta,pine nuts,raisins,salt,tomato paste,tomatoes",768.22,22.75,2.87,122.28,7.63,4.35,564.19,22.48,5.97,5.09,0.26,153.8,0.28,1379.7,3.04,135.66,0,1.1,3.9,11.42,1691.39,41.08,0
397,Spaghetti With Walnuts And Anchovies,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/397-556x370.jpg,0,81,11.69,28.56,59.75,,"chili flakes,garlic,garlic,oil-packed anchovies,olive oil,olive oil,parsley,parsley,spaghetti,spaghetti,spaghetti,walnuts,walnuts",1453.39,46.02,6.03,216.65,8.24,5.1,246.4,42.39,6.43,5.53,0.24,120.36,0.35,841.61,4.95,193.05,0,1.47,4.78,10.92,1007.37,17.69,0
398,"Mustard butter, live",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/398-556x370.jpg,0,1,3.29,91.4,5.31,snack,"anchovy,black sesame seeds,dijon mustard,fish ,ground cumin,heavy cream,herbs,kosher salt,lemon juice,mustard seed,tumeric",292.57,30.49,18.43,3.99,0.35,109.09,142.47,2.47,0.33,1.02,0.1,77.05,0.04,119.43,0.42,19.65,0.15,0.23,0.95,0.57,1278.15,3.12,0
399,Roasted Pepper Antipasto,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/399-556x370.jpg,0,31,2.64,76.77,20.59,snack,"anchovies,balsamic vinegar,fresh basil,garlic cloves,olive oil,red bell peppers,salt and pepper,parlsley",168.08,14.29,1.96,8.62,6.16,0.08,201.74,1.11,0.91,0.63,0.08,15.05,0.05,215.12,0.26,13.54,0,0.29,3.43,1.92,2834.18,114.58,0
400,Grown-up Cauliflower And Cheese,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/400-556x370.jpg,0,49,10.94,57.69,31.37,snack,"anchovy,burrata,cauliflower,cream,kosher salt,olive oil,panko,red pepper flakes",254.93,17.38,3.47,21.27,5.98,8.69,356.49,7.42,2.46,1.83,0.22,89.21,0.24,871.59,0.96,47.8,0.06,1.95,2.32,6.06,87.05,134.99,0
401,Bean Salad Nicoise,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/401-556x370.jpg,0,5,10.39,73.63,15.98,salad,"anchovy,chicken broth,dijon mustard,fresh basil,bean,fresh marjoram,fresh thyme,lemon juice,olive oil,olives,red wine vinegar,whole eggs",181.27,15.53,2.55,7.58,3.06,82.44,342.6,4.93,0.91,1.85,0.2,64.71,0.09,249.26,0.57,30.7,0.21,0.56,2.75,3.18,933.93,15.98,0
402,Triple Citrus Caesar Salad,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/402-556x370.jpg,0,56,6.43,77.97,15.6,salad,"anchovies,egg yolks,extra virgin olive oil,fresh parsley,garlic,ground pepper,jalapeno,lemon,navel orange,parmesan,pecans,red grapefruit,red onion,romaine",542.89,49.53,7.27,22.3,10.68,104.3,119.33,9.2,1.54,2.53,0.22,182.42,0.32,561.16,1.92,61.61,0.28,1,4.92,7.04,8164.25,68.21,0
403,Pommes Frites With Two Dipping s,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/403-556x370.jpg,5,43,6.84,44.92,48.24,snack,"anchovies,bell pepper,canola oil,capers,dijon mustard,mayonnaise,parsley,russet potatoes",714.16,36.44,4.56,88.06,6.65,14.16,601.63,12.49,6.17,5.02,0.25,89.72,0.47,2115.66,1.78,127.18,0,1.74,4.76,8.34,2715.98,126.88,0
404,Swiss Chard With Poached Egg Salad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/404-556x370.jpg,4,11,19.52,74.88,5.6,snack,"anchovies,coarse salt,dijon mustard,eggs,garlic,olive oil,parmesan,swiss chard,white wine vinegar",202.58,16.89,3.7,2.84,0.84,215.02,448.66,9.91,0.84,2.24,0.33,97.53,0.05,308.33,1.08,54.39,0.56,1.01,3.16,0.92,3631.3,16.49,0
405,Pan Bagnat,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/405-556x370.jpg,17,99,31.51,57.37,11.12,"lunch,main_dish,dinner","anchovy,bell pepper,flat leaf parsley,garlic,bean,marinated artichoke hearts,olive oil,olives,red onion,sea salt,sherry vinegar,short bread cookie,tuna in olive oil",576.44,35.8,5.45,15.61,6.08,27.71,1147.62,44.24,18.91,3.56,0.28,63.16,0.14,541.74,1.62,62.18,3.14,0.86,4.74,4.31,3458.64,117.4,0
406,Radicchio  Halloumi Salad With Lemon Anchovy Dressing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/406-556x370.jpg,0,9,17,70.41,12.59,salad,"bread,garlic clove,halloumi cheese,lemon zest,olive oil,parsley,radicchio",383.96,30.22,12.75,12.16,1.75,0,867.45,16.41,1.44,1.72,0.07,676.17,0.11,121.89,0.41,17.1,0,0.24,2.16,1.51,1201.32,20.21,0
408,Pasta with Spicy Anchovy  and Dill Bread Crumbs,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/408-556x370.jpg,0,38,9.95,39.04,51.01,"lunch,main_dish,dinner","anchovy fillets,bread crumbs,dill,olive oil,pasta,red onions,red pepper flakes",707.04,30.63,4.53,90.05,7.65,5.67,285.55,17.56,5.14,3.51,0.24,118.94,0.46,410.11,1.91,68.75,0.18,0.69,4.12,5.5,206.89,7.59,0
410,Grilled Tuna Steak,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/410-556x370.jpg,0,100,65.51,31.26,3.23,"lunch,main_dish,dinner","ahi tuna steaks,anchovy,basil leaves,garlic clove,kosher salt,lemon zest,oregano leaves",706.07,23.66,6.09,5.5,0.5,186.77,397.93,111.56,42.93,7.47,1.24,172.09,1.13,1331.44,3.35,254.35,42.92,5.03,5.64,2.89,10213.23,9.51,0
411,Crunchy Cabbage Salad,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/411-556x370.jpg,0,11,7.16,71.08,21.76,salad,"anchovy,garlic cloves,green cabbage,red cabbage,salt and pepper,vegetable oil,white wine vinegar",149.13,12.54,9.97,8.64,4.26,3.2,227.55,2.84,1.16,1.01,0.08,62.92,0.08,281.89,0.36,19.87,0,0.26,0.65,2.76,799.23,57.91,0
412,Springtime Asparagus Pizza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/412-556x370.jpg,1,30,17.8,53.84,28.36,"lunch,main_dish,dinner","chili flakes,chili flakes,goat cheese,goat cheese,half n half,half n half,lemon zest,oil-packed anchovies,pizza dough,shredded mozzarella",1364.48,82.45,49.92,97.72,12.84,235.87,2732.97,61.32,4.07,8.08,1.16,841.55,0.23,615.89,4.83,75.6,2.76,1.99,2.16,3.04,2910.4,6.94,0
413,Stuffed Cherry Peppers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/413-556x370.jpg,0,4,29.28,63.48,7.24,appetizers,"anchovy,capers,cherry,fennel seeds,olive oil,pecorino cheese,wine vinegar",152.27,10.11,5.44,2.6,1.25,33.6,395.94,10.5,0.61,0.66,0.13,330.52,0.02,80.13,0.87,17.46,0.36,0.17,0.36,0,133.11,0.87,0
414,Fresh Tuna Salad with Avocado,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/414-556x370.jpg,0,53,10.78,79.26,9.96,salad,"ahi tuna steak,anchovy,black peppercorns,capers,celery ribs,fennel seeds,garlic clove,hass avocados,lemon juice,mayonnaise,oil cured black olives,olive oil,red onion,salt",918.54,83.8,12.67,23.71,3.33,45.28,711.98,25.63,11.36,2.97,0.51,81.89,0.37,1323.78,2.04,118.13,8.07,3.84,10.33,15.73,2244.75,25.82,0
415,Chicken Salad with Green Goddess Dressing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/415-556x370.jpg,0,20,40.62,46.4,12.98,salad,"anchovy,baby arugula,butter,champagne vinegar,chicken breast,chives,cucumbers,hass avocado,low fat mayonnaise,low fat sour cream,olive oil,parsley,salt and pepper,tarragon,tomato",233.28,12.09,2.34,7.61,2.74,68.01,371.78,23.81,11.44,1.51,0.22,75.78,0.13,790.77,1.15,58.39,0.28,2.18,1.54,3.3,864.01,15.46,0
416,"Dinner Tonight: Spaghetti with Garlic, Anchovies, and Chili",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/416-556x370.jpg,0,37,7.51,50.31,42.18,,"garlic,olive oil,olive oil,red chilis,spaghetti",444.98,25.07,3.49,47.29,3.93,0,8.44,8.43,1.54,1.39,0.08,23.88,0.09,283.61,0.95,41.15,0,0.35,3.82,2.55,428.67,65.6,0
417,Chicken Cacciatore,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/417-556x370.jpg,1,57,50.21,32.29,17.5,"lunch,main_dish,dinner","anchovy,black olives,bell pepper,canned tomatoes,chicken breast,chicken stock,dark muscovado sugar,extra virgin olive oil,garlic,onions,parsley,red bell pepper,tomato paste,white wine,worcestershire ",883.97,29.64,5.23,36.13,19.83,294.68,1299.3,103.67,52,5.19,0.78,117.61,0.49,2778.63,3.73,175.52,0.93,7.13,6.96,6.56,5068.19,197.91,6.18
418,Bruschetta With Goat Cheese And Olive Tapenade,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/418-556x370.jpg,9,47,9.15,78.02,12.83,"lunch,main_dish,dinner","anchovy,baguette,capers,dried tomatoes,flat leaf parsley leaves,fresh basil leaves,fresh thyme leaves,garlic clove,goat cheese,olive oil,olives,olives,oregano leaves",1345.43,121.62,29.97,44.99,13.21,54.56,5128.22,32.09,5.82,8.78,0.73,408.76,0.45,1203.34,2.23,125.83,0.24,1.61,18.69,14.6,2904.49,20.48,0
419,Kittencal’s Famous Creamy Caesar Salad Dressing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/419-556x370.jpg,0,3,4.18,93.09,2.73,salad,"anchovy,dijon mustard,garlic cloves,half n half cream,lemon juice,mayonnaise,parmesan cheese,salt and pepper,worcestershire ",592.65,61.44,12.06,4.05,2.21,47.98,953.36,6.21,0.5,0.68,0.1,174.14,0.05,118.85,0.63,12.82,0.31,0.29,2.59,0,215.52,5.27,0
420,Pasta With Cauliflower,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/420-556x370.jpg,111,5,5.02,76.43,18.55,appetizers,"anchovies,breadcrumbs,canned tomatoes,cauliflower,elbow macaroni,garlic,olive oil,onion,parmesan cheese,parsley,red pepper flakes,salt and pepper,tomato paste",168.53,14.62,2.19,7.99,1.43,1.15,257.75,2.16,0.6,0.57,0.04,29.9,0.05,125.38,0.25,10.42,0,0.21,2.21,0.98,80.4,11.04,0
421,Kale Caesar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/421-556x370.jpg,4,50,13.08,56.94,29.98,"lunch,main_dish,dinner","bread,bread,bread bowl,caesar dressing,croutons,egg yolk,garlic,green grams,herbes de provence,kale,kale,lemons,olive oil,olive oil,olive oil,parmesan cheese,salad mix,salt,servings: 4 to,total time: minutes",692.63,46.25,9.12,54.8,5.45,71.86,1187.22,23.9,5.63,6.68,0.55,655.58,0.55,1410.12,2.65,150.47,0.3,1.04,4.54,4.11,23436.02,312.28,0
422,Pissaladiere,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/422-556x370.jpg,0,2,9.86,41.72,48.42,appetizers,"active yeast,anchovy,bread flour,fresh bay leaf,fresh flat-leaf parsley,fresh thyme,garlic cloves,olive oil,olive oil,olive oil,olives,onions,sea salt,sea salt,sugar,water,water",63.38,2.99,0.43,7.8,1.26,0.87,241.55,1.59,0.46,0.23,0.03,11.98,0.06,59.13,0.17,5.74,0,0.12,0.46,0.81,0,2.42,0
423,Pissaladiere,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/423-556x370.jpg,0,6,8.11,41.65,50.24,snack,"all purpose flour,anchovy,bay leaves,butter,dry yeast,fresh thyme,oil cured black olives,olive oil,olive oil,onions,rosemary,salt,sugar,thyme sprigs,water,ornmeal",343.75,16.24,4.25,44.07,10.07,14.17,349.41,7.12,3.06,2.33,0.24,76.77,0.37,401.58,0.76,34.76,0,0.5,1.97,5.11,205.79,18.55,0
424,Chicken Thighs with Garlicky Crumbs and Snap Peas,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/424-556x370.jpg,0,64,30.97,43.9,25.13,"lunch,main_dish,dinner","bread crumbs,flat-leaf parsley,garlic cloves,oil packed tuna,olive oil,salt,shallots,skinless boneless chicken thighs,sugar snap peas",869.05,41.97,7.38,54.03,9.51,269.55,858.86,66.61,20.45,8.25,0.83,207.23,0.98,1170.36,5.67,125.97,2.03,4.69,4.95,6.41,1935,82.32,0
425,"Steak, Tomato and Arugula Sandwiches",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/425-556x370.jpg,0,58,44.66,47.26,8.08,"lunch,main_dish,dinner","anchovy,arugula,bread,garlic clove,kosher salt,olive oil,red wine vinegar,shallot,sirloin steak,tomatoes",371.73,19.25,4.55,7.4,3.02,108.56,339.07,40.93,14.53,3.96,0.26,122.23,0.17,897.2,7.52,66.53,2.07,1.41,2.58,1.63,1187.09,13.42,0
426,Fusilli Salad with Grilled Chicken and Zucchini,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/426-556x370.jpg,0,30,32.63,25.23,42.14,salad,"anchovy,basil,garlic cloves,lemon juice,olive oil,red bell pepper,salt and pepper,skinless boneless chicken breast halves,whole wheat fusilli,zucchini",433.67,11.9,2.03,44.72,7.51,74.37,343.88,34.64,13.35,1.44,0.31,48.27,0.17,964.35,1.38,67.88,0.25,2.11,1.95,7.54,1466.25,75.16,0
427,Texas Smoked Salmon Tartare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/427-556x370.jpg,0,2,16.88,53.28,29.84,snack,"capers,cilantro,corn tortilla chips,garlic paste,ground cumin,jalapeno,lime juice,oil packed tuna,olive oil,red onion,salmon,salt and pepper,sour cream",118.56,7.13,1.8,8.98,0.61,15.41,279.99,5.08,1.71,0.6,0.1,38.22,0.05,147.81,0.48,25.64,0.67,0.5,0.78,0.79,86.17,2.28,0
428,Caponata-Style Escarole and Cod,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/428-556x370.jpg,0,78,28.45,45.45,26.1,"lunch,main_dish,dinner","anchovies,can whole peeled tomatoes,capers,cod,escarole,flat leaf parsley leaves,flour,garlic cloves,oil cured black olives,olive oil,salt and pepper",223.05,11.57,1.73,14.95,3.07,32.89,604.51,16.29,4.91,3.23,0.26,132.84,0.26,876.68,1.64,57.17,0.6,1.38,3.29,5.19,2663.84,19.29,0
429,Spaghetti Puttanesca,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/429-556x370.jpg,44,87,11.2,24.2,64.6,appetizers,"anchovy fillet,bell pepper,canned diced tomatoes,capers,fresh basil,fresh flat-leaf parsley,garlic,oil cured black olives,olive oil,oregano,red pepper flakes,spaghetti,tomato paste,yellow onion",81.37,2.2,0.3,13.21,4,0.03,61.86,2.29,1.06,0.7,0.08,15.74,0.06,224.94,0.37,17.2,0,0.31,1.63,2.21,2394.41,97.5,0
430,Hot Niçoise Salad,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/430-556x370.jpg,0,61,32.73,61.54,5.73,salad,"ahi tuna steaks,anchovies,basil leaves,eggs,grape tomatoes,bean,lemon juice,olive oil,olives,salt and pepper,yellow bell peppers",669.35,45.67,8.49,9.58,3.35,292.57,707.71,54.65,19.79,4.86,0.84,133.04,0.53,928.17,2.54,130.93,16.72,3.09,7.61,3.09,5051.85,83.82,0
431,Stuffed Pizza Pie with Escarole,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/431-556x370.jpg,0,100,8.59,43.46,47.95,snack,"active yeast,anchovy,escarole,flour,garlic cloves,oil cured black olives,olive oil,olive oil,bell pepper,pine nuts,salt,salt,water",476.99,23.29,3.05,57.81,3.8,1.2,756.71,10.36,5.97,4.66,0.53,85.97,0.81,635.07,1.96,53.6,0,1.77,5.04,7.69,4834,102.78,0
432,Pasta with Smothered broccoli and Olives,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/432-556x370.jpg,0,100,13.43,35.51,51.06,snack,"anchovy,broccoli,dry red wine,garlic clove,golden raisins,oil cured black olives,olive oil,parsley,pasta,pecorino cheese,salt and pepper,scallions",416.62,16.81,2.7,54.36,6.9,5,363.43,14.3,3.52,4.82,0.27,225.01,0.3,559.02,2.19,73.52,0,0.79,4.65,6.69,4505.14,41.43,0.39
433,Grilled Lamb Chops with Provençal Dressing,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/433-556x370.jpg,1,48,39.68,59.86,0.46,"lunch,main_dish,dinner","anchovy fillets,garlic clove,lamb rib chops,lemon juice,olive oil,olives,rosemary,salt and pepper,thyme",707.8,45.93,13.24,0.8,0.13,225.73,534.63,68.51,20.35,5.91,0.69,49.81,0.41,920.32,12.98,87.36,8.11,2.24,2.83,0.26,0,2.09,0
434,Fettuccine with Tomatoes and Crispy Capers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/434-556x370.jpg,0,13,14.91,46.48,38.61,"lunch,main_dish,dinner","basil,capers,cornstarch,crushed red pepper,fettuccine,garlic cloves,oil-packed anchovies,olive oil,parmigiano reggiano cheese,prosciutto,tomatoes",643.44,33.29,9.65,62.21,2.79,92.41,864.56,24.04,2.9,2.26,0.21,398.57,0.19,353.95,2.57,67.81,0.65,0.95,3.41,3.35,704.42,6.3,0
435,Escalivada and Serrano Ham Canapés,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/435-556x370.jpg,0,12,17.79,29.99,52.22,snack,"anchovy,baguette,chives,eggplant,olive oil,plum tomatoes,red bell pepper,salt and pepper,serrano ham",142.9,4.8,0.83,18.81,2.3,6.2,530.71,6.41,2.35,1.33,0.13,35.89,0.18,183.91,0.45,17.7,0,0.29,0.89,2.2,619.7,21.96,0
436,Celery and Olive Antipasto with Ricotta Salata,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/436-556x370.jpg,0,1,8.88,83.92,7.2,snack,"calamata olives,canned anchovy,celery ribs,garlic cloves,lemon juice,lemon zest,olive oil,ricotta salata,salt and pepper",97.93,9.4,2.4,1.81,0.36,8.93,400.65,2.24,0,0.2,0.04,46.52,0,49.21,0.23,4.55,0.06,0,1.26,0.52,147.79,2.69,0
437,Burn-Your-Fingers Chicken Wings,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/437-556x370.jpg,0,16,29.99,58.61,11.4,"lunch,main_dish,dinner","anchovy,black pepper,chicken wings,crushed red pepper,fresh ginger,garlic cloves,kosher salt,light brown sugar,pineapple juice,scallions,soy ,vegetable oil",735.36,47.38,13.87,20.75,15.99,222.04,910.37,54.55,18.03,3.78,0.31,79.82,0.17,633.74,4.11,68.15,0.94,2.32,1.79,1.42,1157.44,8.01,0
438,Roasted Bagna Cauda Broccoli,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/438-556x370.jpg,91,25,7.85,76.91,15.24,snack,"anchovy,broccoli,butter,butter,garlic,lemon,olive oil,olive oil,salt and pepper,slivered almonds,white wine",311.94,28.05,12.09,12.51,3,46.35,396.69,6.44,1.51,1.53,0.26,101.44,0.13,554.5,0.91,52.3,0,0.96,4.47,4.91,1473.77,138.01,0.39
439,Stuffed Baked Red Peppers,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/439-556x370.jpg,0,45,12,36.04,51.96,snack,"canned anchovies,cooked white rice,garlic cloves,juice of lemon,olive oil,olives,onion,bell pepper,red peppers",268.77,10.82,1.62,35.11,7.1,12.05,702.63,8.11,4.54,1.59,0.19,66.48,0.12,455.3,1.15,40.5,0.12,0.94,4.1,3.89,4247.77,184.68,0
440,Puglia Lady Rethought For America,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/440-556x370.jpeg,1,100,14.39,26.92,58.69,"lunch,main_dish,dinner","anchovy,broccoli,cheese,chicken stock,extra virgin olive oil,extra virgin olive oil,garlic,orecchiette,orecchiette,red wine vinegar,red wine vinegar,salt and pepper",1204.43,35.85,10.16,175.84,7.61,35.7,522.35,43.1,6.79,6.02,0.46,398.5,0.42,847.14,5.18,158.37,0.27,1.5,5.22,10.36,3267.46,23.69,0
441,"Sneaky Spinach, 'shrooms And Bowties",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/441-556x370.jpg,0,100,14.25,34.12,51.63,"lunch,main_dish,dinner","anchovies,baby spinach leaves,bread crumbs,butter,cheese,cremini mushrooms,farfalle,garlic clove,lemon zest,olive oil,pine nuts,red pepper flakes,Salt  Pepper",1641.56,63.66,17.87,216.69,17.53,63.36,764.52,59.83,26.43,10.15,2.88,466.68,1.1,3276.79,12.3,317.69,0.86,8.55,7.16,13.98,6287.12,18.24,0
